modelis,tau,fpr,ataku_aptikta,macro_f1,tikslumas
XGBoost,0.99984151,0.0001333333333333,0.836794299652327,0.570008595206187,0.7358604637102869
XGBoost,0.9999,0.0001333333333333,0.8308784118822211,0.558081939173694,0.7303725566172288
XGBoost,0.9999369,6.666666666666667e-05,0.8241341851753127,0.5468810101869581,0.7241454171716256
XGBoost,0.99996019,6.666666666666667e-05,0.8172265836607995,0.5354703178834538,0.7179787353905428
XGBoost,0.99997488,6.666666666666667e-05,0.8088199466308962,0.5224345968462961,0.7106743502862121
XGBoost,0.99998415,0.0,0.7980687378006311,0.5077269420750972,0.7018915004767912
XGBoost,0.99999,0.0,0.7843968460063458,0.4921785942916147,0.6911795015540367
XGBoost,0.99999369,0.0,0.763728499732008,0.4745595099129873,0.6761667642233526
XGBoost,0.99999602,0.0,0.737577065616482,0.4555652518825475,0.6577134361663245
XGBoost,0.99999749,0.0,0.7068769329102785,0.4355483718178805,0.6363828728932565
XGBoost,0.99999842,0.0,0.6571364695563944,0.4113191465541584,0.6034087130486877
XGBoost,0.999999,0.0,0.5963381113298996,0.3836754585509495,0.5640342849919344
MLP,0.5,0.4815333333333333,0.9845080555245048,0.6283508228432132,0.7799588338266129
MLP,0.55,0.4372,0.9813093487650872,0.630534563302794,0.7804479912940963
MLP,0.6,0.3893333333333333,0.977356824910932,0.6324208137824823,0.7809151641562996
MLP,0.65,0.3381333333333333,0.972077239023076,0.6336545306237704,0.7812064601762616
MLP,0.7,0.2822666666666666,0.965166771283868,0.6336808471337175,0.780829973810839
MLP,0.75,0.2286,0.955820012554064,0.6324828926584241,0.7792663187602881
MLP,0.8,0.1756,0.9437618052629618,0.6290922399701783,0.7758944299254447
MLP,0.85,0.1215333333333333,0.9281466131255892,0.6234985353340979,0.7705631631450077
MLP,0.9,0.0682,0.9059734988864716,0.6155656903753324,0.7618984805889676
MLP,0.93690427,0.0348,0.8851188480069706,0.6081884242722616,0.7532063172763273
MLP,0.96018928,0.0181333333333333,0.8688386917404003,0.6020385444832211,0.745967885987837
MLP,0.97488114,0.0102666666666666,0.8583741053796171,0.5967080636944585,0.7408976863951018
MLP,0.98415107,0.0067333333333333,0.8503228802118713,0.5905676943391325,0.7365749633818919
MLP,0.99,0.0039333333333333,0.8444528520368826,0.5853132668677081,0.732999716948207
MLP,0.99369043,0.0025333333333333,0.839307978709683,0.5805099730455608,0.7295783627514832
MLP,0.99601893,0.0014666666666666,0.8351089595317736,0.5759917553263894,0.7264428084234015
MLP,0.99748811,0.0008,0.8312452886431579,0.5706604260998549,0.7234666424836008
MLP,0.99841511,0.0005333333333333,0.8279691938169801,0.5647546631614752,0.7208065052447024
MLP,0.999,0.0004666666666666,0.8248507413490174,0.557746925340024,0.7181023987952436
MLP,0.99936904,0.0003333333333333,0.8221421590124136,0.5524071400499381,0.7157555421815873
MLP,0.99960189,0.0002666666666666,0.8195654230117716,0.5474891226279017,0.7134828836107515
MLP,0.99974881,0.0002,0.81674505791207,0.5415443225023031,0.710951905927874
MLP,0.99984151,0.0001333333333333,0.8134947591081455,0.5342580623060678,0.7079949765176935
MLP,0.9999,0.0001333333333333,0.8104135675612154,0.5275310933870414,0.7052139239497542
MLP,0.9999369,0.0001333333333333,0.8073123124414215,0.5214628719311383,0.7024850848193552
MLP,0.99996019,0.0001333333333333,0.8029613833546867,0.5160467250507016,0.6989812883528309
MLP,0.99997488,0.0001333333333333,0.7952684362737933,0.507692492561214,0.6931663602562306
MLP,0.99998415,6.666666666666667e-05,0.7880168877959018,0.497276989060545,0.6881071529661354
MLP,0.99999,6.666666666666667e-05,0.7807567406439261,0.4917479386935038,0.6834134397388228
MLP,0.99999369,6.666666666666667e-05,0.7726911843527061,0.4868628209901168,0.6781453786985663
MLP,0.99999602,6.666666666666667e-05,0.7625476151577427,0.4819178197305248,0.6716351874599812
MLP,0.99999749,6.666666666666667e-05,0.7515470447790285,0.476454455512703,0.6641796581943494
MLP,0.99999842,6.666666666666667e-05,0.7352296275914254,0.4702922758678343,0.6531021652088125
MLP,0.999999,0.0,0.7184822766995996,0.4637861483964268,0.6408100227815472
